datetime,TEMP,TEMP long_name,TEMP Unit,DOX1,DOX1 long_name,DOX1 Unit,PSAL,PSAL long_name,PSAL Unit,PHOS,PHOS long_name,PHOS Unit,PHOW,PHOW long_name,PHOW Unit,NTRA,NTRA long_name,NTRA Unit,DOXY,DOXY long_name,DOXY Unit,SLCA,SLCA long_name,SLCA Unit,CPHL,CPHL long_name,CPHL Unit,DOX2,DOX2 long_name,DOX2 Unit,SLCW,SLCW long_name,SLCW Unit,CHLT,CHLT long_name,CHLT Unit,FLU2,FLU2 long_name,FLU2 Unit,NTAW,NTAW long_name,NTAW Unit,NTRI,NTRI long_name,NTRI Unit,NTIW,NTIW long_name,NTIW Unit,NTRZ,NTRZ long_name,NTRZ Unit,AMON,AMON long_name,AMON Unit,NODW,NODW long_name,NODW Unit,PHPH,PHPH long_name,PHPH Unit,WSPD,WSPD long_name,WSPD Unit,WDIR,WDIR long_name,WDIR Unit,DRYT,DRYT long_name,DRYT Unit,PRRT,PRRT long_name,PRRT Unit,PRRD,PRRD long_name,PRRD Unit,platform_code,PRES,DEPTH,LONGITUDE,LATITUDE,dataset_id
2021-11-24 22:47:00,,Sea temperature,degrees_C,,,,,Practical salinity,0.001,,,,,,,,,,,,,,,,,Chlorophyll-a,mg m-3,190.978,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,-0.6,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,,Sea temperature,degrees_C,,,,,Practical salinity,0.001,,,,,,,,,,,,,,,,,Chlorophyll-a,mg m-3,188.575,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,-0.5,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.821,Sea temperature,degrees_C,,,,34.83,Practical salinity,0.001,,,,,,,,,,,,,,,,,Chlorophyll-a,mg m-3,188.891,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,-0.4,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.821,Sea temperature,degrees_C,,,,34.83,Practical salinity,0.001,,,,,,,,,,,,,,,,,Chlorophyll-a,mg m-3,190.114,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,-0.2,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.821,Sea temperature,degrees_C,,,,34.83,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0146,Chlorophyll-a,mg m-3,190.151,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,0.1,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.821,Sea temperature,degrees_C,,,,34.83,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0073,Chlorophyll-a,mg m-3,190.176,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,0.2,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.821,Sea temperature,degrees_C,,,,34.83,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0044,Chlorophyll-a,mg m-3,190.252,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,0.5,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.821,Sea temperature,degrees_C,,,,34.83,Practical salinity,0.001,,,,,,,,,,,,,,,,,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,0.6,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.789,Sea temperature,degrees_C,,,,34.854,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0122,Chlorophyll-a,mg m-3,190.288,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,0.9,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.768,Sea temperature,degrees_C,,,,34.87,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0365,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,1.1,,-179.2634,-22.2277,16735
