Run,lat,lon
SRR22870102,-20.54103,-175.38288
SRR22870103,-20.54008,-175.38558
SRR22870104,-20.54127,-175.39191
SRR22870105,-20.54735,-175.396
SRR22870106,-20.5376,-175.38232
SRR22870107,-20.54355,-175.38445
SRR22870108,-20.54352,-175.39859
SRR22870109,-20.54401,-175.39559
SRR22870110,-20.54372,-175.38923
SRR22870111,-20.54448,-175.39374
SRR22870112,-20.5351,-175.38568
SRR22870113,-20.54167,-175.39534
SRR22870114,-20.54222,-175.40329
SRR22870115,-20.53784,-175.38173
SRR22870116,-20.53907,-175.3839
SRR22870117,-20.54671,-175.3911
SRR22870118,-20.5433,-175.38473
SRR22870119,-20.54656,-175.39128
SRR22870120,-20.53722,-175.3845
SRR22870121,-20.54288,-175.38685
SRR22870122,-20.54008,-175.38558
SRR22870123,-20.54127,-175.39191
SRR22870124,-20.54735,-175.396
SRR22870125,-20.54285,-175.38513
SRR22870126,-20.53878,-175.38758
SRR22870127,-20.5376,-175.38232
SRR22870128,-20.54235,-175.38913
SRR22870129,-20.54285,-175.38513
SRR22870130,-20.54352,-175.39859
SRR22870131,-20.54401,-175.39559
SRR22870132,-20.54372,-175.38923
SRR22870133,-20.54448,-175.39374
SRR22870134,-20.5351,-175.38568
SRR22870135,-20.53999,-175.39154
SRR22870136,-20.54066,-175.3947
SRR22870137,-20.54167,-175.39534
SRR22870138,-20.54222,-175.40329
SRR22870139,-20.54091,-175.40285
SRR22870140,-20.53878,-175.38758
SRR22870141,-20.53784,-175.38173
SRR22870142,-20.53907,-175.3839
SRR22870143,-20.541,-175.38345
SRR22870144,-20.54908,-175.3921
SRR22870145,-20.54835,-175.38967
SRR22870146,-20.54671,-175.3911
SRR22870147,-20.54679,-175.39116
SRR22870148,-20.54656,-175.39128
SRR22870149,-20.53722,-175.3845
SRR22870150,-20.54288,-175.38685
SRR22870151,-20.53833,-175.3878
SRR22870152,-20.5384,-175.38775
