Run,lat,lon
SRR22966205,37.45,14.59
SRR22966206,37.45,14.59
SRR22966207,37.45,14.59
SRR22966208,37.45,14.59
SRR22966209,37.45,14.59
SRR22966210,37.45,14.59
SRR22966211,37.45,14.59
SRR22966212,37.45,14.59
SRR22966213,37.45,14.59
SRR22966214,37.45,14.59
SRR22966215,37.45,14.59
SRR22966216,37.45,14.59
SRR14744400,37.37666,13.6
SRR14744401,37.54472,14.91972
SRR14744402,37.54472,14.91972
SRR14744403,37.37666,13.6
SRR14744404,37.37666,13.6
SRR14744405,37.54472,14.91972
SRR14744406,37.54472,14.91972
SRR14744407,37.54472,14.91972
SRR14744408,37.37666,13.6
SRR14744409,37.54472,14.91972
SRR14744410,37.54472,14.91972
SRR14744411,37.37666,13.6
SRR14744412,37.54472,14.91972
SRR14744413,37.54472,14.91972
SRR14744414,37.54472,14.91972
SRR14744415,37.54472,14.91972
SRR14744416,37.54472,14.91972
SRR14744417,37.37666,13.6
SRR14744418,37.37666,13.6
SRR14744419,37.37666,13.6
SRR14744420,37.37666,13.6
SRR14744421,37.37666,13.6
SRR14744422,37.37666,13.6
SRR14744423,37.37666,13.6
SRR14744424,37.37666,13.6
SRR14744425,37.54472,14.91972
SRR14744426,37.54472,14.91972
SRR14744427,37.54472,14.91972
SRR14744428,37.54472,14.91972
SRR14744429,37.54472,14.91972
SRR14744430,37.54472,14.91972
SRR14744431,37.54472,14.91972
SRR14744432,37.37666,13.6
SRR14744433,37.37666,13.6
SRR14744434,37.37666,13.6
SRR14744435,37.37666,13.6
SRR14744436,37.37666,13.6
SRR14744437,37.37666,13.6
SRR14744438,37.37666,13.6
SRR14744439,37.37666,13.6
SRR14744440,37.54472,14.91972
SRR14744441,37.54472,14.91972
SRR14744442,37.54472,14.91972
SRR14744443,37.54472,14.91972
SRR14744444,37.37666,13.6
SRR14744445,37.54472,14.91972
SRR14744446,37.37666,13.6
SRR14744447,37.37666,13.6
SRR14744448,37.37666,13.6
SRR14744449,37.37666,13.6
SRR14744450,37.37666,13.6
SRR14744451,37.37666,13.6
