library_id,lat,lon
ERR1700913,39.3991,19.3997
ERR1726540,39.8386,17.4155
ERR1726546,39.814,17.4138
ERR1726555,35.759,14.2574
ERR1726585,35.7528,14.2765
ERR1726613,39.814,17.4138
ERR1726618,39.3833,19.4183
ERR1726672,39.3833,19.4183
ERR1726715,39.5705,17.4101
ERR1726718,39.8607,17.4105
ERR1726722,39.3888,19.3905
ERR1726743,39.8661,17.3868
ERR1726748,35.7405,14.3238
ERR1726753,35.7528,14.2765
ERR1726787,39.2143,19.406
ERR1726802,39.8312,17.3952
ERR1726810,39.8312,17.3952
ERR1726811,35.7528,14.2765
ERR1726836,39.8661,17.3868
ERR1726855,39.4046,19.3886
ERR1726870,39.91,12.8266
ERR1726929,39.8386,17.4155
ERR1726956,35.7444,14.3083
ERR1726965,35.7528,14.2765
ERR1726976,39.3885,19.3906
ERR594352,35.7528,14.2765
ERR594358,35.759,14.2574
ERR594375,39.3991,19.3997
ERR594378,39.8386,17.4155
ERR594396,39.3888,19.3905
ERR594406,39.8386,17.4155
ERR598951,39.3888,19.3905
ERR598993,35.759,14.2574
ERR599043,39.3888,19.3905
ERR599073,35.7528,14.2765
ERR599092,35.7528,14.2765
ERR599094,39.3991,19.3997
ERR599140,35.759,14.2574
ERR599153,39.3991,19.3997
ERR771006,38.2686,15.6371
ERR868356,39.3888,19.3905
ERR868393,35.759,14.2574
ERR868403,39.8386,17.4155
ERR868412,37.4956,15.4945
ERR868418,39.3991,19.3997
ERR868482,37.4532,15.4596
ERR868488,35.7528,14.2765
ERR868496,39.5705,17.4101
ERR986625,39.8971,11.7578
ERR986629,38.2533,15.6292
ERR986630,38.2533,15.6292
ERR986631,38.5283,18.0748
SRR2981506,36.4828,15.6501
SRR2981512,36.5908,18.6942
SRR2981515,36.608,17.971
SRR5453780,38.24,14.57
SRR5453781,38.24,14.57
SRR5453782,38.24,14.57
SRR5468446,38.55,13.18
SRR5468449,38.09,11.46
SRR5468452,38.48,10.16
SRR5468488,39.47,11.53
,,
,,
,,
,,
