time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-01T01:38:13.587Z,-29.6259,-176.7611,10,4.7,mb,,76,1.074,0.73,us,us6000g82i,2022-02-05T23:03:36.040Z,"Kermadec Islands region",earthquake,4,1.8,0.11,25,reviewed,us,us
2021-12-01T06:45:29.404Z,-15.1014,-173.4341,10,4.5,mb,,124,1.991,0.9,us,us6000ga0k,2022-02-05T23:04:02.040Z,"102 km NNE of Hihifo, Tonga",earthquake,9.5,1.9,0.18,10,reviewed,us,us
2021-12-01T07:38:30.881Z,-20.9641,-178.8573,612.66,4.3,mb,,76,4.331,0.7,us,us6000ga0p,2022-02-05T23:04:02.040Z,"Fiji region",earthquake,13.3,8.2,0.074,51,reviewed,us,us
2021-12-01T09:00:15.633Z,-18.0373,-177.9303,573.26,4.3,mb,,141,3.836,0.8,us,us6000ga0r,2022-02-05T23:04:03.040Z,"291 km E of Levuka, Fiji",earthquake,17.8,10.2,0.153,12,reviewed,us,us
2021-12-01T12:13:35.898Z,-21.1675,-173.8589,10,4.3,mb,,164,7.485,0.81,us,us6000ga17,2022-02-05T23:04:04.040Z,"114 km E of ‘Ohonua, Tonga",earthquake,9,1.9,0.188,11,reviewed,us,us
2021-12-01T13:05:59.710Z,-10.8947,161.5616,61.79,4.2,mb,,51,2.149,0.39,us,us6000ga0x,2022-02-05T23:04:03.040Z,"62 km SW of Kirakira, Solomon Islands",earthquake,9.4,7,0.121,22,reviewed,us,us
2021-12-01T13:59:46.593Z,-16.386,177.8073,10,4.3,mb,,111,1.371,0.62,us,us6000ga0z,2022-02-05T23:04:03.040Z,"127 km N of Ba, Fiji",earthquake,8.8,1.8,0.177,12,reviewed,us,us
2021-12-01T14:16:42.160Z,-14.8201,167.7598,10,4.1,mb,,162,0.823,0.26,us,us6000ga10,2022-02-05T23:04:03.040Z,"77 km ENE of Port-Olry, Vanuatu",earthquake,6.3,2,0.166,10,reviewed,us,us
2021-12-01T17:23:02.319Z,-10.3911,161.2972,43.67,5.3,mww,,24,1.632,0.94,us,us6000g88z,2022-02-05T23:03:44.040Z,"68 km W of Kirakira, Solomon Islands",earthquake,7.7,4.2,0.08,15,reviewed,us,us
2021-12-01T21:21:00.707Z,-23.0516,171.4441,10,4.8,mb,,112,4.723,0.7,us,us6000ga1h,2022-02-05T23:04:05.040Z,"southeast of the Loyalty Islands",earthquake,7.7,1.5,0.124,20,reviewed,us,us
2021-12-01T22:53:21.506Z,-30.815,-177.6821,10,4.5,mb,,188,1.561,0.83,us,us6000ga1k,2022-02-05T23:04:05.040Z,"Kermadec Islands, New Zealand",earthquake,7.6,2,0.205,7,reviewed,us,us
2021-12-02T02:10:51.570Z,-23.2151,-179.9725,559.56,4.2,mb,,105,5.748,0.68,us,us6000ga72,2024-01-17T22:24:10.983Z,"south of the Fiji Islands",earthquake,7.4,11.6,0.118,20,reviewed,us,us
2021-12-02T03:53:54.555Z,-18.0907,-178.3065,597.9,4.4,mb,,99,3.483,0.73,us,us6000ga73,2022-02-05T23:04:06.040Z,"251 km E of Levuka, Fiji",earthquake,15.6,7.5,0.123,19,reviewed,us,us
2021-12-02T06:11:27.910Z,-14.6921,167.504,118.22,4,mb,,190,0.804,0.42,us,us6000ga76,2022-02-05T23:04:06.040Z,"60 km NE of Port-Olry, Vanuatu",earthquake,15.9,7,0.123,20,reviewed,us,us
2021-12-02T17:41:35.844Z,-17.8455,-177.6491,600,4.3,mb,,119,3.546,0.55,us,us6000ga7h,2022-02-05T23:04:07.040Z,"Fiji region",earthquake,14.6,2,0.114,22,reviewed,us,us
2021-12-03T01:10:36.803Z,-18.0334,-177.8094,629,4.2,mb,,123,3.716,0.87,us,us6000g8lp,2022-02-12T23:05:41.040Z,"Fiji region",earthquake,15.9,7.8,0.105,30,reviewed,us,us
2021-12-03T02:01:29.229Z,-17.223,-178.5725,640.79,4,mb,,178,3.262,1.05,us,us6000gah9,2022-02-12T23:06:46.040Z,"236 km ESE of Labasa, Fiji",earthquake,22.7,13.2,0.183,10,reviewed,us,us
2021-12-03T02:25:03.687Z,-14.8279,167.7085,134.11,4.2,mb,,164,0.785,0.71,us,us6000g8lu,2022-02-12T23:05:41.040Z,"72 km ENE of Port-Olry, Vanuatu",earthquake,10.8,4.8,0.152,14,reviewed,us,us
2021-12-03T05:27:32.086Z,-24.3337,-179.9866,518.32,4.3,mb,,93,5.244,0.82,us,us6000g8mi,2022-02-12T23:05:42.040Z,"south of the Fiji Islands",earthquake,15.1,9.6,0.109,24,reviewed,us,us
2021-12-03T08:40:26.273Z,-23.3794,-175.0029,10,5.5,mww,,48,6.416,0.66,us,us6000g8ne,2022-02-12T23:05:42.040Z,"226 km S of ‘Ohonua, Tonga",earthquake,9.9,1.1,0.089,12,reviewed,us,us
2021-12-03T09:05:25.619Z,-23.3998,-174.7517,10,4.6,mb,,96,6.493,0.39,us,us6000gahj,2022-02-12T23:06:47.040Z,"229 km S of ‘Ohonua, Tonga",earthquake,7.1,1.9,0.126,19,reviewed,us,us
2021-12-03T09:20:56.544Z,-23.2832,-175.3617,10,4.9,mb,,82,6.381,0.61,us,us6000g8nw,2022-02-12T23:05:43.040Z,"220 km S of ‘Ohonua, Tonga",earthquake,9.7,1.8,0.102,30,reviewed,us,us
